address,balance,
MAN.FdQkMod2cJL5m7ZEWxwkC5rMFvgN,0.432146463,
MAN.Fk9FAQA4euhvmtbMyeWtT6pmRqt3,143.590390624,
MAN.Fm7gxj2N4b2SQqukTXHrq3iSg3x4,0.540623814,
MAN.Fng4PQ2K5whEmRSrzphmd2GTgGzN,0.097742212,
MAN.FtaYHtr9vc4W7Keq5ucSKjkJyqeU,0.350324473,
MAN.FuUGYrnWYBcWsqmHaa49h5ZZdcN5,1004.98243429,
MAN.Fzs6R83H1Dtmvht3qV4BNLQhEQhs,0.194400866,
MAN.G4i25Ro4EW5qKBLiat76Q5rtPUXC,0.476841943,
MAN.G8dYKuZvPQAqVXRSzCTV7sYPhGFK,18292.614132629690861872,
MAN.GGxTSmTkjGf7NWzbUFSyYBLpfXr5,0.293116843,
MAN.GJbuRRtV6XS3hXMfnX2whZsu7kCW,0.865126716,
MAN.GJuBdvjY6aAZrd9s6j5yffVGBCyN,0.859005055,
MAN.GLS8sT35omSySuyDVgoB4WQz7kwd,0.467516264,
MAN.GRS8Z34cPF3dB8neDC46cnF3Sq39,0.406286448,
MAN.GVMnbLMgdhNjRc3VX8KSHFjxDjzN,0.558167437,
MAN.GafwVEiXJPwAdahfLPjdHEekfST6,0.086889008,
MAN.GcLng5EbZnkG5rq6AxJR4PGs1J7X,0.772174083,
MAN.GdGZEYREq5k6VExqhsd22dTqWZ9W,0.155557233,
MAN.Gdci4VEoCJGUQdzRJtTJQZtsk52B,150.84262176,
MAN.GgeB1vyXyAZ5uqVpCw21dsvgGAaC,0,
MAN.Gkyo4ymFUmeqHiXKBCNTJebzojZv,0.667748324,
MAN.GmAfgsDr3VLuw61VHeiPLhERyDy8,83.327557324134,
MAN.Gpiqrbi37KMJ7BWSVXEYnDnsFdZ7,0.352147623,
MAN.GxUwA1cGHMku9CibP7FbHq52NF5j,1519.12,
MAN.GxiYkkrY7Y67ENjSrEiMtxJdsYh1,10229.0682,
MAN.Gzagv2Fcq5yH4XeuwJUkvEXRUkSP,0.84862667,
MAN.H1XJZSKsLr168UVVM2nHou7cTkbR,11,
MAN.H4YDbU64GFVs77vMuQKj2qD6bDt4,0.939662212,
MAN.H69UZq4pY2vb2RBGxqhsSop8dWeC,0.388260637,
MAN.H72JinSVrR98okc5nmtK5JTEkk8T,0.8,
MAN.H87qp693zqfBoNDGDMpkJ8kvXRpZ,0.531152892,
MAN.HELEhVVFyKpBYUdan7Ps1H39HVnv,0.783260754,
MAN.HGBxbXncMMJWpUkwrPNGFARB57m3,0.8,
MAN.HNf1Qpzpg6nKLc2CJ3s5yymthxui,0.579315229,
MAN.HQzyhxtTMSPRUWqYvJuuaca3E2Zo,3043.880629319689852703,
MAN.HW5aYgT2MqWD7aKFfquURRmzqX9o,5,
MAN.HWVt99qFU9w1f21rJGPamcb9jUyC,10103.492743638749819112,
MAN.HXVdNkq8ugyRJqdnHNHyftsEt2J1,0.849542501,
MAN.HZgmCxn8C5G41j1SbnwVSNyB5eA1,101.028499300227646818,
MAN.HeMGmWdppBmxtZhSLXNdCGLxwyZM,4000,
